,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
125,OSI-027,189120,916,0.5731441048034934,0.3101391650099404,0.78,0.4438122332859175,0.7321648044692738,0.4260106021956547,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
126,OSI-930,189115,921,0.9381107491856677,0.9387978142076503,0.9988372093023256,0.9678873239436618,0.9130956919557758,0.9923737034898211,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
127,OSU-03012,189166,870,0.27241379310344827,0.21366459627329193,1.0,0.35209825997952915,0.8182015059638835,0.5590972070977083,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
128,Obatoclax Mesylate,189172,864,0.30092592592592593,0.03205128205128205,1.0,0.062111801242236024,0.8865521327014217,0.22780988164533206,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
129,Olaparib,188278,1758,0.4869169510807736,0.9788359788359788,0.45510455104551045,0.6213266162888329,0.7673273323642328,0.973154038870233,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
130,Omipalisib,189114,922,0.0737527114967462,0.06870229007633588,1.0,0.1285714285714286,0.7303804719404253,0.1923861563792631,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
131,PAC-1,189177,859,0.8172293364377182,0.825925925925926,0.9766423357664233,0.8949832775919732,0.741052101686383,0.9099125976901621,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
132,PD0325901,189195,841,0.6302021403091558,0.25523012552301255,0.31443298969072164,0.2817551963048499,0.4960085406077216,0.26694592162003355,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
133,PD173074,189187,849,0.9104829210836278,0.9434194341943419,0.9623588456712673,0.9527950310559007,0.6260496091110898,0.9562590206145344,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
134,PF-4708671,189128,908,0.8667400881057269,0.9591078066914498,0.8979118329466357,0.9275014979029359,0.6087208715827701,0.9647608499473022,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
135,PF-562271,189172,864,0.8287037037037037,0.8292397660818713,0.9971870604781997,0.9054916985951468,0.7151301214344152,0.9219522996969545,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
136,PFI-1,189103,933,0.6602357984994641,0.6452442159383034,0.9244935543278084,0.7600302800908404,0.729579260518487,0.7888911350071812,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
137,PFI-3,189184,852,0.7934272300469484,0.995575221238938,0.7959905660377359,0.8846657929226737,0.4734669811320755,0.9949583778541221,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
138,PHA-665752,189630,406,0.5221674876847291,0.9808612440191388,0.5189873417721519,0.6788079470198676,0.6632911392405063,0.9847453707084222,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
139,PHA-793887,189114,922,0.6594360086767896,0.8532818532818532,0.44466800804828976,0.5846560846560847,0.8028642442892648,0.8195703184284888,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
140,PI-103,189123,913,0.4457831325301205,0.34214002642007924,0.9700374531835206,0.505859375,0.7167298616667246,0.47523772985482327,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
141,PIK-93,189116,920,0.4771739130434783,0.45955056179775283,1.0,0.6297151655119323,0.7704582318575686,0.7181123240259123,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
