,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
128,Obatoclax Mesylate,189172,864,0.1076388888888889,0.025284450063211124,1.0,0.04932182490752157,0.8029620853080569,0.07768854483272578,0.010196888209425372,0.43973347551563247,0.02181201561605224
129,Olaparib,188278,1758,0.9249146757679181,0.9253986332574032,0.9993849938499385,0.9609698403311651,0.7438592567743859,0.9720802845337351,0.010196888209425372,0.43973347551563247,0.02181201561605224
130,Omipalisib,189114,922,0.11171366594360087,0.07142857142857142,1.0,0.13333333333333333,0.6476892658499177,0.11926791112087366,0.010196888209425372,0.43973347551563247,0.02181201561605224
131,PAC-1,189177,859,0.7974388824214202,0.7974388824214202,1.0,0.8873056994818653,0.7200268478899237,0.8972932930488227,0.010196888209425372,0.43973347551563247,0.02181201561605224
132,PD0325901,189195,841,0.25326991676575505,0.22942643391521197,0.9484536082474226,0.3694779116465864,0.4441195685081024,0.23295717218163636,0.010196888209425372,0.43973347551563247,0.02181201561605224
133,PD173074,189187,849,0.9151943462897526,0.9458794587945879,0.9648682559598495,0.9552795031055901,0.6148537785927998,0.9573673511646206,0.010196888209425372,0.43973347551563247,0.02181201561605224
134,PF-4708671,189128,908,0.8513215859030837,0.9549436795994993,0.8851508120649652,0.9187236604455148,0.5784323615454454,0.9553610777605506,0.010196888209425372,0.43973347551563247,0.02181201561605224
135,PF-562271,189172,864,0.8101851851851852,0.8283313325330132,0.9704641350210971,0.8937823834196891,0.6512322697480305,0.8988906533212707,0.010196888209425372,0.43973347551563247,0.02181201561605224
136,PFI-1,189103,933,0.5819935691318328,0.5819935691318328,1.0,0.7357723577235772,0.6861689568871889,0.7605126334683462,0.010196888209425372,0.43973347551563247,0.02181201561605224
137,PFI-3,189184,852,0.9084507042253521,0.9948586118251928,0.9127358490566038,0.9520295202952029,0.4454599056603774,0.9947446771016115,0.010196888209425372,0.43973347551563247,0.02181201561605224
138,PHA-665752,189630,406,0.5935960591133005,0.9831932773109243,0.5924050632911393,0.7393364928909952,0.6446490218642118,0.9850319500093454,0.010196888209425372,0.43973347551563247,0.02181201561605224
139,PHA-793887,189114,922,0.6203904555314533,0.5908529048207664,0.9617706237424547,0.7320061255742726,0.7001254586341579,0.7093388249962649,0.010196888209425372,0.43973347551563247,0.02181201561605224
140,PI-103,189123,913,0.31653888280394304,0.2996632996632997,1.0,0.461139896373057,0.6805173873215755,0.3937759551803641,0.010196888209425372,0.43973347551563247,0.02181201561605224
141,PIK-93,189116,920,0.45760869565217394,0.45044052863436124,1.0,0.6211085801063022,0.7111900056938071,0.6329470027999675,0.010196888209425372,0.43973347551563247,0.02181201561605224
142,PLX-4720,188268,1768,0.7335972850678733,0.9099491648511256,0.783125,0.8417870339267718,0.5941350446428572,0.9326362281764475,0.010196888209425372,0.43973347551563247,0.02181201561605224
143,Paclitaxel,189637,399,0.3308270676691729,0.3010471204188482,1.0,0.46277665995975853,0.6671157379056951,0.5010822681603001,0.010196888209425372,0.43973347551563247,0.02181201561605224
144,Palbociclib,189211,825,0.5806060606060606,0.5913173652694611,0.844017094017094,0.6954225352112676,0.6148698795757619,0.6823629203277579,0.010196888209425372,0.43973347551563247,0.02181201561605224
145,Parthenolide,189634,402,0.39303482587064675,0.9405940594059405,0.2852852852852853,0.43778801843317977,0.7042694868781825,0.9147416523671561,0.010196888209425372,0.43973347551563247,0.02181201561605224
146,Pazopanib,189168,868,0.7960829493087558,0.8211284513805522,0.9606741573033708,0.8854368932038835,0.5773102131950447,0.8712514649908938,0.010196888209425372,0.43973347551563247,0.02181201561605224
147,Pelitinib,189115,921,0.5852334419109664,0.39201451905626133,0.8212927756653993,0.5307125307125308,0.7276225917921573,0.5048324117814598,0.010196888209425372,0.43973347551563247,0.02181201561605224
148,Pevonedistat,189332,704,0.5241477272727273,0.5235378031383737,0.9972826086956522,0.6866230121608979,0.671001552795031,0.6918100731351837,0.010196888209425372,0.43973347551563247,0.02181201561605224
149,Phenformin,189124,912,0.5767543859649122,0.4013761467889908,0.5833333333333334,0.47554347826086957,0.6238344226579521,0.4159481546596285,0.010196888209425372,0.43973347551563247,0.02181201561605224
150,Pictilisib,188305,1731,0.43558636626227615,0.38716216216216215,0.8911353032659409,0.539802166745172,0.5981683400420822,0.47280813120066056,0.010196888209425372,0.43973347551563247,0.02181201561605224
151,Piperlongumine,189106,930,0.16774193548387098,0.1513157894736842,1.0,0.26285714285714284,0.7188003220611917,0.3930195092834628,0.010196888209425372,0.43973347551563247,0.02181201561605224
152,Ponatinib,189156,880,0.8,0.8006833712984055,0.9985795454545454,0.888748419721871,0.6728596332644629,0.8846305520046678,0.010196888209425372,0.43973347551563247,0.02181201561605224
153,Pyrimethamine,189635,401,0.6683291770573566,0.7186440677966102,0.8091603053435115,0.7612208258527827,0.6836179911033006,0.80604743411098,0.010196888209425372,0.43973347551563247,0.02181201561605224
154,QS11,189165,871,0.7256027554535017,0.7693370165745856,0.8855325914149443,0.8233555062823356,0.6826393724789447,0.8350244359183205,0.010196888209425372,0.43973347551563247,0.02181201561605224
155,Quizartinib,189115,921,0.5548317046688382,0.9800796812749004,0.5515695067264574,0.7058823529411765,0.6477501159734035,0.9785156293960445,0.010196888209425372,0.43973347551563247,0.02181201561605224
156,RO-3306,189187,849,0.9199057714958775,0.9285714285714286,0.9898477157360406,0.9582309582309582,0.5907256386785388,0.9528962994432133,0.010196888209425372,0.43973347551563247,0.02181201561605224
157,Rapamycin,189674,362,0.5718232044198895,0.5682451253481894,1.0,0.724689165186501,0.652705385951849,0.7133852488660666,0.010196888209425372,0.43973347551563247,0.02181201561605224
158,Refametinib,188315,1721,0.5496804183614178,0.6857923497267759,0.27552140504939626,0.3931088488645262,0.5688742529576778,0.625900414847963,0.010196888209425372,0.43973347551563247,0.02181201561605224
159,Rucaparib,189114,922,0.9544468546637744,0.9627192982456141,0.9909706546275395,0.9766407119021137,0.7315337346375721,0.983571976040619,0.010196888209425372,0.43973347551563247,0.02181201561605224
160,Ruxolitinib,189114,922,0.6626898047722343,0.9900497512437811,0.6618625277161863,0.7933554817275748,0.7548226164079823,0.9908166752724115,0.010196888209425372,0.43973347551563247,0.02181201561605224
161,S-Trityl-L-cysteine,189639,397,0.5617128463476071,0.41422594142259417,0.7443609022556391,0.5322580645161291,0.6534802916381863,0.5012071078926037,0.010196888209425372,0.43973347551563247,0.02181201561605224
162,SB216763,189285,751,0.6937416777629827,0.9884393063583815,0.6960651289009498,0.8168789808917198,0.6390773405698779,0.9889198529025617,0.010196888209425372,0.43973347551563247,0.02181201561605224
